BCUT2D_LOGPLOW,Chi2n,SlogP_VSA2,BCUT2D_CHGHI,BalabanJ,MolLogP,MinPartialCharge,BCUT2D_MRHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_MRLOW,MaxPartialCharge,MaxAbsEStateIndex,FpDensityMorgan2,BCUT2D_MWLOW,SMR_VSA3,VSA_EState3,MinAbsEStateIndex,VSA_EState7,VSA_EState5,VSA_EState8,FractionCSP3,MinEStateIndex,BCUT2D_MWHI,VSA_EState4,qed,PEOE_VSA7,Kappa3,VSA_EState6,SMR_VSA7,EState_VSA3,PEOE_VSA6,PEOE_VSA8,EState_VSA5,EState_VSA9,EState_VSA2,PEOE_VSA9,EState_VSA4,VSA_EState1,VSA_EState9,EState_VSA7,EState_VSA8,SMR_VSA6,SlogP_VSA3,SMR_VSA10,PEOE_VSA10,EState_VSA6,SMR_VSA4,PEOE_VSA11,fr_Al_OH,PEOE_VSA3,SMR_VSA9,VSA_EState10,SlogP_VSA10,NumSaturatedRings,PEOE_VSA14,SlogP_VSA12,SlogP_VSA11,fr_Ar_N,fr_pyridine,PEOE_VSA5,PEOE_VSA13,PEOE_VSA4,fr_bicyclic,fr_NH0,fr_halogen,fr_phenol_noOrthoHbond,fr_COO2,fr_unbrch_alkane,fr_aniline,fr_Ndealkylation1,SlogP_VSA7,fr_allylic_oxid,fr_ester,fr_Ndealkylation2,fr_guanido,fr_imidazole,fr_ArN,NumSaturatedCarbocycles,fr_Ar_NH,fr_oxime,Target
-2.015784274,3.125060783,18.13707498,2.209254254,2.809298824,3.2711,-0.42412073,8.072965343,-2.203019228,2.492324429,-0.384448534,0.380044537,10.50417415,1.722222222,10.29501505,0,10.50417415,0.010674551,0,0.394290123,1.523732249,0.4,-2.816594781,32.45299187,-0.010674551,0.435980905,25.98020854,4.343346753,5.619288549,34.37978654,18.96327576,0,23.93959023,24.26546827,25.37809757,5.687386275,18.13707498,0,16.07461939,0,0,0,13.21376393,20.85435041,24.2128496,5.749511833,13.8474744,0,0,0,0,5.749511833,5.177146059,5.687386275,0,6.718607232,6.718607232,5.749511833,0,0,0,5.687386275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.316780352,4.916693658,5.783244946,2.606035461,2.474151724,2.4017,-0.299064289,5.887317892,-2.319067465,2.628827347,-0.127754742,0.139098746,11.573125,2,9.704437479,0,0,0.025462963,3.252222222,1.193287037,6.674074074,0.9,0.025462963,16.14018962,0.307291667,0.520631018,24.17453976,0.604769179,0,0,11.70115099,20.7712116,11.83581209,6.420821623,0,10.82998094,0,12.84164325,0,0,0,20.7712116,0,4.794537184,5.783244946,5.783244946,0,16.74788698,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
-2.537266058,10.11106497,158.2174053,2.389151691,2.275955022,-6.0424,-0.746280075,7.911623697,-2.327573734,2.260069391,-0.11385271,0.206091809,13.126441,0.765957447,10.02964948,0,95.63214721,0.265181091,-18.47619703,0,-2.164533147,0.5,-5.46763457,32.24161907,-0.530362181,0.063388504,48.53093655,10.20429025,7.638958925,48.53093655,0,0,11.37477255,0,10.21305479,11.37477255,23.00473088,48.53093655,96.77073448,-15.29176489,0,10.63357721,23.84734114,30.07350685,41.4482794,79.81573045,0,0,0,10,25.25339095,0,0,11.37477255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-1.568363547,0.316227766,11.71340936,1.340293519,1.632993162,-0.0014,-0.396663715,3.835802336,-1.522358693,1.296242638,0.318405613,0.040220582,7.569444444,2,10.90816804,0,7.569444444,0.25,0,0,1.930555556,1,0.25,16.24899133,0,0.406807966,6.9237372,1.96,0,0,0,0,6.606881965,0,5.106527395,6.606881965,0,0,0,0,0,0,6.606881965,0,0,0,6.9237372,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.293226827,0.083333333,0,2.254535033,3.265986324,-0.2376,-0.425134795,6.510433607,-2.220521366,2.303561144,0.070457516,0.245694384,8.584183673,1.333333333,10.04555061,0,0,2.505102041,0,0,0,0,-2.505102041,25.33171862,0,0.604957616,0,2.924675325,0,0,0,0,0,0,2.324753431,0,0,0,17.16836735,0,0,0,0,2.324753431,0,0,0,0,0,0,0,0,-2.505102041,0,0,38.42369096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.380526402,4.272499699,49.78944148,2.433035763,2.455258448,-1.4863,-0.393566854,9.109293426,-2.169501769,2.274842763,-0.055012251,0.330072536,11.7670955,2.1,10.12628378,9.551078169,28.53784666,0.165938209,-2.274506107,0,-0.499017385,0.454545455,-1.392081562,79.91872806,-1.204195458,0.527270151,11.06130824,2.62608745,0,37.58366786,0,15.9299439,6.196843572,17.25815181,9.843390349,5.563451492,12.17033346,4.567099648,6.195670942,0,0,20.91392242,6.606881965,4.736862954,22.005964,18.31189916,0,0,6.227901171,3,4.794537184,0,3.01462451,0,1,5.689743398,15.9299439,0,2,0,0,5.559266895,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-2.259202057,4.527855929,48.24782526,2.03591848,2.218277243,1.3225,-0.369830001,7.980585469,-2.067999314,2.159059216,-0.403601952,0.273570192,10.35456005,2.380952381,10.53647666,20.51746546,19.29648894,0.41900701,0.929189708,2.137975973,1.535690096,0.583333333,-0.478640534,32.16654121,1.094003344,0.379953466,14.09534397,7.880956415,0,38.21686172,12.3657305,0,37.02295478,0,0,0,10.61723904,34.9519702,0,5.703982612,14.09534397,25.89752823,33.44062596,12.29761001,23.09867083,5.007623697,30.14634281,0,5.820974096,0,4.983978521,0,3.434327358,0,0,0,23.09867083,0,1,0,11.33678588,6.19995489,11.76188495,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.358030367,0.23570226,6.286160523,1.240992307,2.187496097,0.2052,-0.30371527,5.439544345,-1.234884554,1.128696431,-0.105610463,0.116405283,8.805555556,2,10.96029404,0,0,0.75,0.75,0,1.444444444,0.5,0.75,16.12814585,0,0.355007613,6.9237372,1.67,0,0,0,0,0,6.9237372,4.794537184,0,0,6.286160523,0,0,0,0,0,4.794537184,6.286160523,6.286160523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.472947194,7.373533131,42.52360149,2.252722442,1.398667443,5.107,-0.297133063,5.483144939,-2.391512837,2.288840555,0.117579983,0.060218535,2.627060185,1.142857143,9.962131322,9.799819462,0,0.337417455,4.513872932,0,5.41263196,0.230769231,0.337417455,15.26952562,4.033890806,0.596666077,16.69035448,4.776071181,32.70124782,113.7618806,6.041840829,103.1475462,32.72378203,16.69035448,0,0,6.041840829,32.72378203,0,0,0,112.9473657,32.72378203,0,6.076020107,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.410961021,5.516815668,28.90361841,2.179346059,1.82181076,2.8712,-0.507966618,5.275218217,-2.245124476,2.195578527,0.123698287,0.118875834,10.32911684,1.636363636,10.02722384,5.316788604,22.94147329,0.099047357,-0.63909696,1.031553253,4.468426188,0.333333333,-0.63909696,16.47827469,0.772201612,0.735710822,43.67639416,4.755362428,16.23278791,60.16075511,6.606881965,30.33183534,12.08368166,0,4.736862954,17.83319349,6.103966388,11.31296332,5.692654697,0,44.17930974,5.316788604,6.606881965,0,0,18.10590563,24.26546827,0,0,1,0,11.49902367,0,0,0,0,0,11.49902367,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
